mes,segmento,nome_completo_fonte,valor_ranking,valor_sub_segmento,diferenca,arquivo_origem
2014-08,comerciais_leves,VW/SAVEIRO,7021,7018,3,2014-08.pdf
2014-08,comerciais_leves,HAFEI/MINI,9,8,1,2014-08.pdf
2014-09,automoveis,VW/FOX/CROSS FOX,7729,8469,-740,2014-09.pdf
2014-09,automoveis,FIAT/DOBLO,1182,1181,1,2014-09.pdf
2014-09,automoveis,MITSUBISHI/LANCER,846,836,10,2014-09.pdf
2014-10,automoveis,VW/FOX/CROSS FOX,9217,9682,-465,2014-10.pdf
2014-10,automoveis,FIAT/DOBLO,1243,1241,2,2014-10.pdf
2014-10,comerciais_leves,FIAT/STRADA,13380,13379,1,2014-10.pdf
2014-10,comerciais_leves,VW/SAVEIRO,8437,8436,1,2014-10.pdf
2014-11,automoveis,FIAT/DOBLO,1060,1058,2,2014-11.pdf
2014-12,automoveis,FIAT/DOBLO,1233,1230,3,2014-12.pdf
2014-12,comerciais_leves,FIAT/STRADA,13340,13338,2,2014-12.pdf
2015-01,automoveis,FIAT/DOBLO,880,878,2,2015-01.pdf
2015-01,comerciais_leves,FIAT/STRADA,11201,11200,1,2015-01.pdf
2015-01,comerciais_leves,VW/SAVEIRO,5735,5733,2,2015-01.pdf
2015-02,automoveis,FIAT/DOBLO,711,708,3,2015-02.pdf
2015-02,comerciais_leves,VW/SAVEIRO,4803,4802,1,2015-02.pdf
2015-02,comerciais_leves,RENAULT/MASTER,602,599,3,2015-02.pdf
2015-03,automoveis,FORD/FOCUS,1256,1254,2,2015-03.pdf
2015-03,automoveis,FIAT/DOBLO,807,806,1,2015-03.pdf
2015-03,comerciais_leves,RENAULT/MASTER,854,821,33,2015-03.pdf
2015-04,automoveis,FORD/FOCUS,1213,1199,14,2015-04.pdf
2015-04,automoveis,FIAT/DOBLO,779,778,1,2015-04.pdf
2015-04,comerciais_leves,RENAULT/MASTER,1060,1059,1,2015-04.pdf
2015-05,automoveis,FORD/FOCUS,1212,1200,12,2015-05.pdf
2015-05,comerciais_leves,FIAT/STRADA,7354,7352,2,2015-05.pdf
